Time,CO2 (ppm)
28.7,2128.219604
28.8,2058.601379
28.9,2070.617676
29,2058.601379
29.1,2058.601379
29.2,2064.51416
29.3,2140.426636
29.4,2152.633667
29.5,2137.374878
29.6,2140.426636
29.7,2137.374878
29.8,2079.772949
29.9,2064.51416
30,2073.669434
30.1,2070.617676
30.2,2079.772949
30.3,2155.685425
30.4,2152.633667
30.5,2137.374878
30.6,2146.530151
30.7,2158.546448
30.8,2076.721191
30.9,2076.721191
31,2067.565918
31.1,2070.617676
31.2,2067.565918
31.3,2164.649963
31.4,2152.633667
31.5,2152.633667
31.6,2143.478394
31.7,2155.685425
31.8,2070.617676
31.9,2076.721191
32,2076.721191
32.1,2073.669434
32.2,2085.876465
32.3,2149.581909
32.4,2158.546448
32.5,2143.478394
32.6,2149.581909
32.7,2149.581909
32.8,2091.97998
32.9,2079.772949
33,2094.841003
33.1,2091.97998
33.2,2079.772949
33.3,2164.649963
33.4,2167.701721
33.5,2158.546448
33.6,2161.598206
33.7,2164.649963
33.8,2094.841003
33.9,2091.97998
34,2088.928223
34.1,2094.841003
34.2,2082.824707
34.3,2164.649963
34.4,2167.701721
34.5,2164.649963
34.6,2167.701721
34.7,2164.649963
34.8,2094.841003
34.9,2091.97998
35,2110.099792
35.1,2103.996277
35.2,2103.996277
35.3,2189.064026
35.4,2176.856995
35.5,2176.856995
35.6,2176.856995
35.7,2176.856995
35.8,2091.97998
35.9,2097.892761
36,2110.099792
36.1,2097.892761
36.2,2091.97998
36.3,2182.96051
36.4,2176.856995
36.5,2173.805237
36.6,2179.908752
36.7,2176.856995
36.8,2116.203308
36.9,2110.099792
37,2113.15155
37.1,2113.15155
37.2,2110.099792
37.3,2182.96051
37.4,2179.908752
37.5,2176.856995
37.6,2189.064026
37.7,2182.96051
37.8,2110.099792
37.9,2119.255066
38,2103.996277
38.1,2116.203308
38.2,2113.15155
38.3,2191.925049
38.4,2189.064026
38.5,2182.96051
38.6,2189.064026
38.7,2182.96051
38.8,2113.15155
38.9,2113.15155
39,2119.255066
39.1,2107.048035
39.2,2128.219604
39.3,2201.080322
39.4,2186.012268
39.5,2186.012268
39.6,2186.012268
39.7,2191.925049
39.8,2119.255066
39.9,2125.167847
40,2113.15155
40.1,2119.255066
40.2,2128.219604
40.3,2194.976807
40.4,2201.080322
40.5,2201.080322
40.6,2194.976807
40.7,2207.183838
40.8,2137.374878
40.9,2140.426636
41,2134.32312
41.1,2119.255066
41.2,2122.306824
41.3,2201.080322
41.4,2201.080322
41.5,2191.925049
41.6,2204.13208
41.7,2204.13208
41.8,2134.32312
41.9,2137.374878
42,2128.219604
42.1,2137.374878
42.2,2137.374878
42.3,2219.390869
42.4,2207.183838
42.5,2204.13208
42.6,2204.13208
42.7,2207.183838
42.8,2128.219604
42.9,2134.32312
43,2128.219604
43.1,2128.219604
43.2,2128.219604
43.3,2216.339111
43.4,2204.13208
43.5,2207.183838
43.6,2213.287354
43.7,2210.235596
43.8,2140.426636
43.9,2140.426636
44,2137.374878
44.1,2140.426636
44.2,2134.32312
44.3,2225.30365
44.4,2213.287354
44.5,2213.287354
44.6,2210.235596
44.7,2213.287354
44.8,2143.478394
